hospital_name,hospital_type,address,insurers,rating,specialties,tier,segment
Bone And Joint Hospital Srinagar,Government,"Barzulla Srinagar, barzulla, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
GUPTA HOSPITAL AND RESEARCH CENTRE,Private,"Gupta Hospital and Research Centre, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Urology,City 1,Budget/Local
Gupta Hospital And Research Centre,Private,"National Highway, Opposite Indian Petrol Pump, Kalibari, Kathua, Jammu & Kashmir, 184101","Care Health,Star Health",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Established
Gupta Hospital And Research Centre,Private,"12/1 Mg Road Barnagar Barnagar, Barnagar, Madhya Pradesh, 456771",Care Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Established
AL NOOR HOSPITAL,Private,"Batengoo, Anantnag, Anantnag, Jammu and Kashmir",PMJAY,0.0,Orthopedics; General Surgery; Gynecology; Urology,Town 1,Budget/Local
CHOUDHARY HOSPITAL,Private,"gref road near kameshwar temple akhnoor, Jammu and Kashmir","PMJAY,Aditya Birla",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Standard Private
CHOUDHARY HOSPITAL,Private,"CHOUDHARY HOSPITAL, RAJGARH ROAD, SIDHMUKH, Rajasthan",PMJAY,0.0,Orthopedics; General Surgery; Gynecology,Town 2,Budget/Local
SUDAN HEART CARE CENTRE,Private,"ROHI MORH, SATWARI - R S PURA ROAD, Jammu and Kashmir","PMJAY,Care Health",0.0,Cardiology,City 1,Standard Private
St Joseph Hospital,Private,"Opposite Baramulla post office, Opposite Baramulla Post Office, Jammu and Kashmir","PMJAY,ICICI Lombard,Aditya Birla",0.0,General Surgery,Town 1,Standard Private
St Joseph Hospital,Private,"Vishal Khand -5 Gomti Nagar, Lucknow, near manoj pandey chauraha Gomti Nagar, Lucknow, Uttar Pradesh","PMJAY,ICICI Lombard,Aditya Birla",0.0,Neurology; Oncology; Gynecology; Urology,Large City 1,Established
St Joseph Hospital,Private,"15 Trichy Road, Tamil Nadu","PMJAY,Star Health,HDFC,ICICI Lombard",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Established
St. Joseph Hospital,Private,"14-38-1 Mary Land Zilla Parishad Junction Maharanipeta, Visakhapatnam, Andhra Pradesh, 530002","Care Health,Star Health,Niva Bupa",0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 2,Established
St.Joseph Hospital,Private,"Augastianmuzhi, Mukkom, Chennamangaloor, Kerala, 673602",Star Health,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Town 2,Standard Private
St. Joseph Hospital,Private,"Ram Camp Colony Opp Ivy Hospital Chandigarh Road, Hoshiarpur, Punjab, 146001",Aditya Birla,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Standard Private
WASEEM MEMORIAL NURSING HOME,Private,"RAJWAR ROAD HANDWARA, Jammu and Kashmir",PMJAY,0.0,General Surgery; Gynecology,City 1,Budget/Local
Super Speciality Hospital,Government,"Kaka Sarai Srinagar, Jammu and Kashmir",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
super speciality hospital,Government,"super speciality hospital, RNT Medical College, Udaipur, Rajasthan",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 1,Government
SUPER SPECIALITY HOSPITAL,Private,"W-4/11, Link Rd, near Government College, Civil Township, Rourkela, Odisha 769004, Odisha",PMJAY,0.0,Orthopedics; General Surgery; Neurology; Gynecology; Urology,City 2,Budget/Local
Super speciality Hospital,Government,"JAH CAMPUS GWALIOR, Madhya Pradesh",PMJAY,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,Large City 2,Government
Super Speciality Hospital,Private,"W-4/11 Civil Township Rourkela, Sundergarh, Orissa, 769012",Niva Bupa,0.0,Cardiology; Orthopedics; General Surgery; Neurology; Oncology; Gynecology; Urology,City 2,Established
KALINDI NURSING HOME,Private,"2/55, Vikas Nagar, Sudash Nagar Opp. D block of Govt., Jammu, 180005, subash Nagar opp, . D Block Govt Qtrs, Jammu and Kashmir","PMJAY,HDFC,ICICI Lombard",0.0,General Surgery; Urology,City 1,Standard Private
baba nanak medicity,Private,"001 CHATHA, Jammu and Kashmir","PMJAY,Care Health,Niva Bupa",0.0,Orthopedics; General Surgery; Gynecology; Urology,City 1,Standard Private
